longitude,latitude,region_id,region_name,municipality_id,municipality_name,census_block,typology,number_dwellings,number_buildings,avg_dwellings_per_building,avg_number_storeys,avg_floor_area_dwelling(m2),avg_floor_area_building(m2),total_area(m2),replace_cost_per_building_area(USD/m2),replace_cost_per_building_area(LocalCurrency/m2),replace_cost_per_building(USD),replace_cost_per_building(LocalCurrency),total_replace_cost(USD),total_replace_cost(LocalCurrency),occupants_per_dwelling,occupants_per_building,total_occupants,is_urban,
-72.06719,-45.57011,11,Región de Aysén,11101,Coihaique,11101011001008,18,0.03,0.03,1.00,,,,,,,1280.00,,36.11,,2.03,2.03,0.06,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,1,1.01,1.01,1.00,1.67,159.00,159.00,160.00,339.43,,53969.89,,54308.29,,2.91,2.91,2.93,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,2,1.13,0.03,42.50,6.00,54.25,2305.50,61.47,339.43,,782563.49,,20866.44,,2.31,98.33,2.62,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,5,0.01,0.01,1.00,1.90,169.35,169.35,2.14,214.48,,36323.37,,458.31,,2.91,2.91,0.04,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,6,0.03,0.03,1.00,1.59,150.04,150.04,5.24,214.48,,32181.63,,1123.24,,2.91,2.91,0.10,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,7,0.05,0.05,1.00,2.00,159.70,159.70,8.43,214.48,,34252.49,,1808.28,,2.91,2.91,0.15,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,8,0.03,0.03,1.00,1.72,154.15,154.15,4.83,214.48,,33062.60,,1036.45,,2.91,2.91,0.09,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,15,5.92,5.92,1.00,1.73,64.11,64.11,379.34,168.40,,10796.20,,63880.33,,2.96,2.96,17.50,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,16,0.20,0.20,1.00,,,,,,,1280.00,,260.82,,2.36,2.36,0.48,True
-72.06923,-45.57003,11,Región de Aysén,11101,Coihaique,11101011001010,18,0.03,0.03,1.00,,,,,,,1280.00,,36.11,,2.03,2.03,0.06,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,1,0.01,0.01,1.00,1.67,159.00,159.00,1.00,339.43,,53969.89,,338.37,,2.91,2.91,0.02,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,2,0.13,0.00,42.50,6.00,54.25,2305.50,7.23,339.43,,782563.49,,2453.18,,2.31,98.33,0.31,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,5,0.11,0.11,1.00,1.90,169.35,169.35,18.37,214.48,,36323.37,,3939.30,,2.91,2.91,0.32,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,6,0.30,0.30,1.00,1.59,150.04,150.04,45.01,214.48,,32181.63,,9654.55,,2.91,2.91,0.87,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,7,0.45,0.45,1.00,2.00,159.70,159.70,72.47,214.48,,34252.49,,15542.59,,2.91,2.91,1.32,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,8,0.27,0.27,1.00,1.72,154.15,154.15,41.53,214.48,,33062.60,,8908.49,,2.91,2.91,0.78,True
-72.06989,-45.57056,11,Región de Aysén,11101,Coihaique,11101011001011,15,4.92,4.92,1.00,1.73,64.11,64.11,315.23,168.40,,10796.20,,53084.13,,2.96,2.96,14.54,True
